insee;nom;nomcourt;type;forme;pop;nbcom;lon;lat;an;categorie;conso;consocvc;co2;eco2;co2i
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2019;Aucune énergie;0;0;270;11600;0
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2019;Autres énergies renouvelables (EnR);21300;22500;0;42,5;0
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2019;Bois-énergie (EnR);25900;28300;0;776;0
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2019;Electricité;96500;98400;0;4190;4190
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2019;Gaz Naturel;116000;123000;23500;23500;0
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2019;Produits pétroliers;103000;104000;27500;28100;0
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2020;Aucune énergie;0;0;273;10800;0
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2020;Autres énergies renouvelables (EnR);22900;25500;0;50,7;0
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2020;Bois-énergie (EnR);23700;28200;0;690;0
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2020;Electricité;92500;96200;0;3810;3810
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2020;Gaz Naturel;104000;117000;21000;21000;0
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2020;Produits pétroliers;95400;97200;25400;26100;0
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2021;Aucune énergie;0;0;273;11000;0
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2021;Autres énergies renouvelables (EnR);27100;26600;0;48,3;0
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2021;Bois-énergie (EnR);29100;28400;0;819;0
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2021;Electricité;96000;95400;0;3770;3770
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2021;Gaz Naturel;114000;112000;23100;23100;0
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2021;Produits pétroliers;103000;103000;27400;28000;0
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2022;Aucune énergie;0;0;274;10800;0
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2022;Autres énergies renouvelables (EnR);29700;32700;0;42,1;0
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2022;Bois-énergie (EnR);24600;28400;0;666;0
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2022;Electricité;90000;92800;0;3100;3100
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2022;Gaz Naturel;90600;100000;18300;18300;0
200000545;CC des Portes de Romilly sur Seine;Portes de Romilly sur Seine;CC;Urbain;18866;6;3,7102;48,5007;2022;Produits pétroliers;91700;92800;24400;24900;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2019;Aucune énergie;0;0;118;86500;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2019;Autres énergies renouvelables (EnR);29000;29800;0;57,9;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2019;Autres non renouvelables;0;0;0;0;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2019;Bois-énergie (EnR);481000;485000;2660;7200;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2019;Electricité;140000;141000;0;5860;5860
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2019;Gaz Naturel;49100;50400;9970;10000;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2019;Produits pétroliers;128000;129000;34000;34700;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2020;Aucune énergie;0;0;113;99900;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2020;Autres énergies renouvelables (EnR);29800;32000;0;60,6;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2020;Autres non renouvelables;0;0;0;0;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2020;Bois-énergie (EnR);463000;472000;0;4100;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2020;Electricité;135000;137000;0;5470;5470
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2020;Gaz Naturel;45500;48800;9250;9270;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2020;Produits pétroliers;118000;122000;31500;32200;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2021;Aucune énergie;0;0;120;96500;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2021;Autres énergies renouvelables (EnR);34100;33500;0;76,6;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2021;Autres non renouvelables;0;0;0;0;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2021;Bois-énergie (EnR);625000;622000;0;5290;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2021;Chaleur et froid issus de réseau;6340;6120;0;10300;10300
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2021;Electricité;146000;145000;0;5550;5550
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2021;Gaz Naturel;46500;45500;9400;9430;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2021;Produits pétroliers;131000;130000;34700;35700;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2022;Aucune énergie;0;0;118;93000;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2022;Autres énergies renouvelables (EnR);37000;39600;0;65,6;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2022;Autres non renouvelables;0;0;0;0;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2022;Bois-énergie (EnR);554000;563000;0;4700;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2022;Chaleur et froid issus de réseau;4990;5620;0;12600;12600
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2022;Electricité;139000;140000;0;4650;4650
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2022;Gaz Naturel;41200;43800;8330;8350;0
200005957;CC de la Région de Rambervillers;Région de Rambervillers;CC;Rural autonome;12878;30;6,6502;48,3602;2022;Produits pétroliers;127000;130000;33900;34600;0
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2019;Aucune énergie;0;0;905;102000;0
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2019;Autres énergies renouvelables (EnR);88900;90100;0;303;0
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2019;Bois-énergie (EnR);39400;43100;0;1190;0
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2019;Electricité;340000;343000;0;14300;14300
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2019;Gaz Naturel;593000;598000;121000;123000;0
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2019;Produits pétroliers;161000;163000;43000;43900;0
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2020;Aucune énergie;0;0;947;105000;0
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2020;Autres énergies renouvelables (EnR);82700;85300;0;156;0
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2020;Bois-énergie (EnR);35700;42300;0;1050;0
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2020;Electricité;339000;345000;0;13800;13800
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2020;Gaz Naturel;603000;611000;123000;125000;0
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2020;Produits pétroliers;147000;151000;39200;40100;0
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2021;Aucune énergie;0;0;1340;99900;0
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2021;Autres énergies renouvelables (EnR);105000;104000;0;210;0
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2021;Bois-énergie (EnR);43600;42400;0;1240;0
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2021;Electricité;343000;342000;0;13100;13100
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2021;Gaz Naturel;606000;604000;124000;126000;0
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2021;Produits pétroliers;168000;167000;44700;45800;0
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2022;Aucune énergie;0;0;1220;106000;0
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2022;Autres énergies renouvelables (EnR);120000;123000;0;223;0
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2022;Bois-énergie (EnR);36600;42300;0;1010;0
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2022;Electricité;343000;347000;0;11500;11500
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2022;Gaz Naturel;590000;597000;120000;121000;0
200006716;CC du Nogentais;Nogentais;CC;Rural autonome;16511;23;3,5137;48,4913;2022;Produits pétroliers;155000;158000;41300;42300;0
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2019;Aucune énergie;0;0;184;17100;0
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2019;Autres énergies renouvelables (EnR);23000;24000;0;35,4;0
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2019;Bois-énergie (EnR);79100;84700;0;1850;0
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2019;Chaleur et froid issus de réseau;4210;4460;0;690;690
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2019;Electricité;76700;78100;0;3380;3380
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2019;Gaz Naturel;10000;10600;2030;2040;0
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2019;Produits pétroliers;136000;140000;36100;36600;0
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2020;Aucune énergie;0;0;176;16700;0
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2020;Autres énergies renouvelables (EnR);24000;26600;0;34,6;0
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2020;Bois-énergie (EnR);71800;82700;0;1620;0
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2020;Chaleur et froid issus de réseau;4040;4580;0;394;394
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2020;Electricité;74600;77400;0;3120;3120
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2020;Gaz Naturel;9470;10600;1920;1920;0
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2020;Produits pétroliers;129000;138000;34200;34700;0
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2021;Aucune énergie;0;0;180;17000;0
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2021;Autres énergies renouvelables (EnR);27400;26700;0;40,8;0
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2021;Bois-énergie (EnR);85200;82300;0;1880;0
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2021;Chaleur et froid issus de réseau;4470;4330;0;232;232
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2021;Electricité;79200;78400;0;3140;3140
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2021;Gaz Naturel;11300;11000;2280;2290;0
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2021;Produits pétroliers;145000;143000;38500;39100;0
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2022;Aucune énergie;0;0;181;17100;0
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2022;Autres énergies renouvelables (EnR);30100;33800;0;38,4;0
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2022;Bois-énergie (EnR);70500;82600;0;1500;0
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2022;Chaleur et froid issus de réseau;3490;4000;0;226;226
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2022;Electricité;75000;78000;0;2610;2610
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2022;Gaz Naturel;9280;10500;1870;1880;0
200013050;CC Sauer-Pechelbronn;Sauer-Pechelbronn;CC;Rural périurbain;17355;24;7,7678;48,9719;2022;Produits pétroliers;122000;129000;32200;32700;0
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;Auberive Vingeanne et Montsaugeonnais;CC;Rural autonome;8125;51;5,1864;47,7448;2019;Aucune énergie;0;0;63,5;90700;0
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;Auberive Vingeanne et Montsaugeonnais;CC;Rural autonome;8125;51;5,1864;47,7448;2019;Autres énergies renouvelables (EnR);42000;43100;0;140;0
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;Auberive Vingeanne et Montsaugeonnais;CC;Rural autonome;8125;51;5,1864;47,7448;2019;Bois-énergie (EnR);69100;75500;0;1880;0
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;Auberive Vingeanne et Montsaugeonnais;CC;Rural autonome;8125;51;5,1864;47,7448;2019;Chaleur et froid issus de réseau;501;544;0;0;0
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;Auberive Vingeanne et Montsaugeonnais;CC;Rural autonome;8125;51;5,1864;47,7448;2019;Electricité;47000;47800;0;2040;2040
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;Auberive Vingeanne et Montsaugeonnais;CC;Rural autonome;8125;51;5,1864;47,7448;2019;Gaz Naturel;29,5;29,5;5,88;5,93;0
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;Auberive Vingeanne et Montsaugeonnais;CC;Rural autonome;8125;51;5,1864;47,7448;2019;Produits pétroliers;382000;384000;102000;104000;0
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;Auberive Vingeanne et Montsaugeonnais;CC;Rural autonome;8125;51;5,1864;47,7448;2020;Aucune énergie;0;0;61,7;89900;0
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;Auberive Vingeanne et Montsaugeonnais;CC;Rural autonome;8125;51;5,1864;47,7448;2020;Autres énergies renouvelables (EnR);42200;45200;0;132;0
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;Auberive Vingeanne et Montsaugeonnais;CC;Rural autonome;8125;51;5,1864;47,7448;2020;Bois-énergie (EnR);59900;71000;0;1590;0
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;Auberive Vingeanne et Montsaugeonnais;CC;Rural autonome;8125;51;5,1864;47,7448;2020;Chaleur et froid issus de réseau;371;435;0;0;0
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;Auberive Vingeanne et Montsaugeonnais;CC;Rural autonome;8125;51;5,1864;47,7448;2020;Electricité;44600;46100;0;1850;1850
